AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/taurus/r3965184,04 33 45.1 +17 45 14
/data1/phot_cal/spitzer/taurus/r3965184,04 35 24.3 +17 51 38
/data1/phot_cal/spitzer/taurus/r3965184,04 35 30.0 +17 45 05
/data1/phot_cal/spitzer/taurus/r3965184,04 32 09.4 +17 57 19
/data1/phot_cal/spitzer/taurus/r3965184,04 32 14.4 +17 50 44
/data1/phot_cal/spitzer/taurus/r3965184,04 32 44.0 +18 03 03
/data1/phot_cal/spitzer/taurus/r3965184,04 32 49.0 +17 56 17
/data1/phot_cal/spitzer/taurus/r3965184,04 33 48.6 +18 10 09
/data1/phot_cal/spitzer/taurus/r3965184,04 33 54.9 +18 03 23
/data1/phot_cal/spitzer/taurus/r3965184,04 34 17.9 +18 30 02
/data1/phot_cal/spitzer/taurus/r3965184,04 34 23.6 +18 23 22
/data1/phot_cal/spitzer/taurus/r3965184,04 33 55.8 +18 38 44
/data1/phot_cal/spitzer/taurus/r3965184,04 34 01.1 +18 31 54
/data1/phot_cal/spitzer/taurus/r3965184,04 32 22.2 +18 27 32
/data1/phot_cal/spitzer/taurus/r3965184,04 32 27.9 +18 20 52
/data1/phot_cal/spitzer/taurus/r3965184,04 30 04.6 +18 13 45
/data1/phot_cal/spitzer/taurus/r3965184,04 30 09.5 +18 07 15
/data1/phot_cal/spitzer/taurus/r3965184,04 27 10.7 +17 50 40
/data1/phot_cal/spitzer/taurus/r3965184,04 27 16.1 +17 43 58
/data1/phot_cal/spitzer/taurus/r3962880,04 19 01.4 +28 02 44
/data1/phot_cal/spitzer/taurus/r3962880,04 19 05.7 +27 56 07
/data1/phot_cal/spitzer/taurus/r3962880,04 17 38.9 +28 32 59
/data1/phot_cal/spitzer/taurus/r3962880,04 17 44.2 +28 26 13
/data1/phot_cal/spitzer/taurus/r3962880,04 19 15.7 +29 06 27
/data1/phot_cal/spitzer/taurus/r3962880,04 19 21.2 +28 59 38
/data1/phot_cal/spitzer/taurus/r3962880,04 15 14.6 +28 00 08
/data1/phot_cal/spitzer/taurus/r3962880,04 15 19.9 +27 53 23
/data1/phot_cal/spitzer/taurus/r3962880,04 14 48.4 +27 52 40
/data1/phot_cal/spitzer/taurus/r3962880,04 14 53.2 +27 45 48
/data1/phot_cal/spitzer/taurus/r3962880,04 13 27.3 +28 16 23
/data1/phot_cal/spitzer/taurus/r3962880,04 13 32.4 +28 09 37
/data1/phot_cal/spitzer/taurus/r3962880,04 13 14.3 +28 19 09
/data1/phot_cal/spitzer/taurus/r3962880,04 13 19.5 +28 12 33
/data1/phot_cal/spitzer/taurus/r3962880,04 13 58.1 +29 18 16
/data1/phot_cal/spitzer/taurus/r3962880,04 14 02.4 +29 11 43
/data1/phot_cal/spitzer/taurus/r3963136,04 24 44.8 +27 01 41
/data1/phot_cal/spitzer/taurus/r3963136,04 24 49.8 +26 55 03
/data1/phot_cal/spitzer/taurus/r3963136,04 24 57.0 +27 11 54
/data1/phot_cal/spitzer/taurus/r3963136,04 25 01.9 +27 05 10
/data1/phot_cal/spitzer/taurus/r3963136,04 22 02.6 +26 57 36
/data1/phot_cal/spitzer/taurus/r3963136,04 22 07.1 +26 50 44
/data1/phot_cal/spitzer/taurus/r3963136,04 21 10.2 +27 01 39
/data1/phot_cal/spitzer/taurus/r3963136,04 21 15.2 +26 55 02
/data1/phot_cal/spitzer/taurus/r3963136,04 19 58.2 +27 09 58
/data1/phot_cal/spitzer/taurus/r3963136,04 20 04.5 +27 03 09
/data1/phot_cal/spitzer/taurus/r3963136,04 19 43.6 +27 13 30
/data1/phot_cal/spitzer/taurus/r3963136,04 19 47.8 +27 06 59
/data1/phot_cal/spitzer/taurus/r3963136,04 19 41.5 +27 49 48
/data1/phot_cal/spitzer/taurus/r3963136,04 19 45.6 +27 43 04
/data1/phot_cal/spitzer/taurus/r3963136,04 21 55.7 +27 55 03
/data1/phot_cal/spitzer/taurus/r3963136,04 22 00.4 +27 48 17
/data1/phot_cal/spitzer/taurus/r3963136,04 23 11.7 +28 05 59
/data1/phot_cal/spitzer/taurus/r3963136,04 23 16.6 +27 59 14
/data1/phot_cal/spitzer/taurus/r3963136,04 21 59.1 +28 18 13
/data1/phot_cal/spitzer/taurus/r3963136,04 22 03.4 +28 11 27
/data1/phot_cal/spitzer/taurus/r3963136,04 22 00.4 +28 26 04
/data1/phot_cal/spitzer/taurus/r3963136,04 22 04.6 +28 19 26
/data1/phot_cal/spitzer/taurus/r3964160,04 39 17.9 +22 20 58
/data1/phot_cal/spitzer/taurus/r3964160,04 39 22.0 +22 14 23
/data1/phot_cal/spitzer/taurus/r3964160,04 39 17.8 +22 47 45
/data1/phot_cal/spitzer/taurus/r3964160,04 39 21.9 +22 41 19
/data1/phot_cal/spitzer/taurus/r3964160,04 35 20.3 +22 32 10
/data1/phot_cal/spitzer/taurus/r3964160,04 35 24.7 +22 25 31
/data1/phot_cal/spitzer/taurus/r3964160,04 35 42.2 +22 34 09
/data1/phot_cal/spitzer/taurus/r3964160,04 35 46.1 +22 27 28
/data1/phot_cal/spitzer/taurus/r3964160,04 36 39.1 +22 58 10
/data1/phot_cal/spitzer/taurus/r3964160,04 36 43.1 +22 51 30
/data1/phot_cal/spitzer/taurus/r3964160,04 36 10.4 +22 59 56
/data1/phot_cal/spitzer/taurus/r3964160,04 36 14.9 +22 53 10
/data1/phot_cal/spitzer/taurus/r3964160,04 35 52.7 +22 54 21
/data1/phot_cal/spitzer/taurus/r3964160,04 35 57.5 +22 47 37
/data1/phot_cal/spitzer/taurus/r3964160,04 35 51.1 +22 49 09
/data1/phot_cal/spitzer/taurus/r3964160,04 35 56.2 +22 42 31
/data1/phot_cal/spitzer/taurus/r3964160,04 35 21.1 +22 54 23
/data1/phot_cal/spitzer/taurus/r3964160,04 35 25.9 +22 47 44
