AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/michaela/r40463616,00 28 21.09548 -20 20 06.1774
/data1/phot_cal/spitzer/michaela/r40463872,07 44 40.1726285952 +03 33 08.877830321
/data1/phot_cal/spitzer/michaela/r40464128,15 07 18.0658711040 +24 52 09.095241798
/data1/phot_cal/spitzer/michaela/r40464384,23 10 50.0784788822 +45 30 44.175510203
/data1/phot_cal/spitzer/michaela/r40464640,14 46 00.07998 -25 26 35.4355
/data1/phot_cal/spitzer/michaela/r40464896,15 03 03.5651553804 -46 17 37.759488183
/data1/phot_cal/spitzer/michaela/r40465152,13 43 08.5999376282 -69 07 39.799032738
/data1/phot_cal/spitzer/michaela/r40465408,06 58 11.7501358463 +22 28 33.184189940
/data1/phot_cal/spitzer/michaela/r40465664,10 14 44.1579223915 -42 07 18.985179987
/data1/phot_cal/spitzer/michaela/r40465920,18 53 05.8733807460 -50 10 49.901380086
/data1/phot_cal/spitzer/michaela/r40466176,14 16 24.2749465571 +39 44 40.956828797
/data1/phot_cal/spitzer/michaela/r40466432,19 18 09.7809297830 -53 23 13.516028208
/data1/phot_cal/spitzer/michaela/r40466688,19 09 09.8804 +76 33 37.812
/data1/phot_cal/spitzer/michaela/r40466944,18 02 30.7410086899 +58 37 38.157415821
/data1/phot_cal/spitzer/michaela/r40467200,16 52 58.8025427362 -00 01 35.116299669
/data1/phot_cal/spitzer/michaela/r40467456,13 19 45.65296 +47 46 40.9509
/data1/phot_cal/spitzer/michaela/r40467712,11 47 03.8345 -11 49 26.652
/data1/phot_cal/spitzer/michaela/r40467968,11 47 03.4988356693 +50 58 18.502070331
/data1/phot_cal/spitzer/michaela/r40468224,18 44 22.984 +39 36 45.96
/data1/phot_cal/spitzer/michaela/r40468480,14 38 50.2244895270 +44 24 16.197882221
/data1/phot_cal/spitzer/michaela/r40468736,01 15 00.99408 -68 49 08.0819
/data1/phot_cal/spitzer/michaela/r40468992,13 34 07.9308728804 +03 39 32.290017910
/data1/phot_cal/spitzer/michaela/r40469248,03 48 01.0343330073 +68 40 22.411924782
/data1/phot_cal/spitzer/michaela/r40469504,16 04 03.6358576495 +25 15 17.167593790
/data1/phot_cal/spitzer/michaela/r40469760,00 18 41.8673684261 -08 03 10.805762856
/data1/phot_cal/spitzer/michaela/r40470016,21 19 51.9907588936 -53 26 57.924640046
/data1/phot_cal/spitzer/michaela/r40470272,18 48 51.8716546192 +17 26 20.209709276
/data1/phot_cal/spitzer/michaela/r40470528,23 00 16.1224771183 -22 31 27.651428500
/data1/phot_cal/spitzer/michaela/r40470784,06 25 16.5464141963 -00 56 45.178168018
/data1/phot_cal/spitzer/michaela/r40471040,21 04 24.3030796901 -19 51 18.242020541
/data1/phot_cal/spitzer/michaela/r40471296,12 41 06.4845693746 +15 22 36.003098529
/data1/phot_cal/spitzer/michaela/r40471552,01 07 47.8428874889 -41 29 12.716002027
/data1/phot_cal/spitzer/michaela/r40471808,11 47 00.9075180703 +23 43 13.707995630
/data1/phot_cal/spitzer/michaela/r40472064,05 53 00.2845591992 -05 59 41.442052694
/data1/phot_cal/spitzer/michaela/r40472320,14 49 45.1497770467 +58 49 49.321721424
/data1/phot_cal/spitzer/michaela/r40472576,04 34 01.2164578752 -43 31 28.939745886
/data1/phot_cal/spitzer/michaela/r40472832,10 42 43.1816527027 -32 42 56.391418897
/data1/phot_cal/spitzer/michaela/r40473088,07 10 06.6790325559 +21 14 49.139053746
/data1/phot_cal/spitzer/michaela/r40473344,11 29 04.5630861273 +61 46 42.120902491
/data1/phot_cal/spitzer/michaela/r40473600,11 24 52.9269747876 -17 41 02.421208526
