,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
752,40722432,5714.36230318,5265.61284337,5929.67724698,5714.49592752,5690.57705536,5607.01765177,5456.96403604,5634.72480119,5471.31715433,1.38930677156,1.93894516898,1.68406874321,1.85060298827,4.10349902392,1.81404711713,1.35554397494,0.916499576775,1.40072319337
753,40722688,1657.45979299,1439.63241231,1719.22781233,1620.35919836,1667.96023482,1725.10426326,1507.33590852,1613.17455702,1535.44996855,4.72612835879,0.412939421277,4.19944703267,4.75492106004,2.86078648273,5.66845321935,1.76864635045,4.17598943469,1.17538737846
754,40722944,2727.72889857,2364.85664589,2827.19948005,2693.88957639,2695.13933622,2763.31394474,2503.14919535,2659.01681189,2484.73814149,2.31543274894,0.963751620433,2.81208217528,2.9725698414,4.16715238175,2.26466386251,0.764827821714,2.23117266947,0.366200118689
755,40724736,6276.30275612,5850.30689521,6526.41040014,6232.04064715,6281.34789149,6387.5691751,6062.51717332,6218.85325776,6099.38698538,0.958300004821,1.15736333485,0.460549668286,1.11840634242,1.57663526848,2.17053065999,1.07357631998,1.10940072592,2.31613066034
756,40725248,2267.46279114,1952.60435638,2354.67112414,2305.00767559,2280.10573112,2314.18620686,2049.65405769,2181.96787638,2034.90554491,2.58317109369,1.30946174536,2.25428726362,5.9009678965,4.88395517908,3.9704666925,0.925091653329,2.1499991946,1.69728045185
757,40725760,3129.21490724,2868.67952495,3239.89369039,3183.38495285,3090.11445159,3108.13945828,2978.85913258,3065.04626506,2974.19028111,1.80412748039,2.05302500539,1.3789258798,1.3602561786,2.64757775785,1.63798912868,1.27341403515,0.748955135105,1.01750376727
758,40726272,2238.68951338,1979.51371609,2325.34618267,2233.17735,2222.45888527,2234.90002563,2070.40672326,2160.28605063,2070.30858552,2.24999990733,0.96355005987,1.97729092715,4.93426223826,3.88931051486,3.39877108076,0.465980995031,1.8929786553,0.76588593533
759,40726528,1441.18449676,1326.51176629,1496.46416329,1454.22467862,1444.03445064,1420.31236064,1367.54276693,1384.7457747,1384.09868711,3.47498662694,0.915520336601,3.9733137408,0.772908656927,5.83113634553,5.81217002471,1.41419550136,2.23758585041,3.40723213377
760,40726784,2650.07805856,2439.98867781,2743.5948389,2679.12310658,2735.49159592,2657.92845423,2527.51006281,2573.46144735,2541.21995314,1.99256320552,1.3704780543,1.82293765656,2.54937914815,3.37099409871,3.22955264203,1.62029063343,1.10997607538,6.33782833724
761,40727040,684.466023996,613.34214384,708.356481841,692.152774958,689.296349843,680.225779953,634.802481271,654.920315235,640.025863185,2.33139601313,1.69014957423,2.58867741271,4.38185662776,1.90059777249,2.28589002095,0.797840168975,0.870052444955,1.15472630631
