File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
177,X,X,X,O,O,nan,nan,nan,nan,53858.4384719,nan,nan,nan
178,X,X,X,O,O,nan,nan,nan,nan,53858.44306,nan,nan,nan
179,X,X,X,O,O,nan,nan,nan,nan,53858.4470553,nan,nan,nan
180,X,X,X,O,O,nan,nan,nan,nan,53858.4460414,nan,nan,nan
181,X,X,X,O,O,nan,nan,nan,nan,53858.4435553,nan,nan,nan
182,X,X,X,O,O,nan,nan,nan,nan,53858.4501015,nan,nan,nan
183,X,X,X,O,O,nan,nan,nan,nan,53858.4505645,nan,nan,nan
184,X,X,X,O,O,nan,nan,nan,nan,53858.4455461,nan,nan,nan
185,X,X,X,O,O,nan,nan,nan,nan,53858.4521201,nan,nan,nan
186,X,X,X,O,O,nan,nan,nan,nan,53858.4536661,nan,nan,nan
187,X,X,X,O,O,nan,nan,nan,nan,53858.4541616,nan,nan,nan
188,X,X,X,O,O,nan,nan,nan,nan,53858.4536339,nan,nan,nan
189,X,X,X,O,O,nan,nan,nan,nan,53858.4552312,nan,nan,nan
190,X,X,X,O,O,nan,nan,nan,nan,53858.4567264,nan,nan,nan
191,X,X,X,O,O,nan,nan,nan,nan,53858.4577588,nan,nan,nan
192,X,X,X,O,O,nan,nan,nan,nan,53858.4582264,nan,nan,nan
