AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
23840768,"270.62808754,  58.627265",2007-08-07T01:13:31.982,CRYO,FULL,5/10,NO,--,--,0.4,54319.0510646,641.4675283097413,5.937899827789721,0.9256742649836089,0
23843072,"270.62808754,  58.627265",2007-08-16T08:41:09.800,CRYO,FULL,5/10,NO,--,--,0.4,54328.361919,640.5318148197146,4.021384883165974,0.6278196945295905,0
24040960,"270.62808754,  58.627265",2007-09-07T13:53:54.381,CRYO,FULL,5/10,NO,--,--,0.4,54350.5791016,636.6535635766156,3.9804567157503845,0.6252154929266129,0
24043264,"270.62808754,  58.627265",2007-09-14T17:06:10.112,CRYO,FULL,5/10,NO,--,--,0.4,54357.712617,639.5371172170748,2.4674557139724373,0.38581900057802615,0
24265216,"270.62808754,  58.627265",2007-10-16T02:24:15.917,CRYO,FULL,5/10,NO,--,--,0.4,54389.1001842,641.0833826070713,6.232013141902927,0.9721064858301924,0
24267520,"270.62808754,  58.627265",2007-10-23T13:37:13.417,CRYO,FULL,5/10,NO,--,--,0.4,54396.5675164,639.6024951460029,5.792118155067565,0.9055809192466316,0
24407552,"270.62808754,  58.627265",2007-10-22T19:52:04.825,CRYO,FULL,5/10,YES,large,3,0.4,54395.8278336,640.128768838486,3.878791460499548,0.6059392499321061,0
24409088,"270.62808754,  58.627265",2007-10-22T19:55:03.227,CRYO,FULL,5/10,YES,large,3,0.4,54395.8298985,639.2740441655111,3.9230585100968987,0.6136739862820396,0
24427264,"270.62808754,  58.627265",2007-11-13T02:55:00.953,CRYO,FULL,5/10,YES,large,5,0.4,54417.1215388,635.7586099602283,5.227156085268523,0.8221919457127796,0
24428800,"270.62808754,  58.627265",2007-11-26T15:13:51.340,CRYO,FULL,5/10,YES,large,4,0.4,54430.634622,640.8865724350737,3.5022082253256825,0.5464630366679246,0
24599040,"270.62808754,  58.627265",2007-12-22T06:58:44.765,CRYO,FULL,5/10,YES,large,3,0.4,54456.2907959,636.9680441415314,5.887065918270534,0.9242325376314255,0
24600576,"270.62808754,  58.627265",2007-12-31T23:30:28.316,CRYO,FULL,5/10,YES,large,3,0.4,54465.9794944,637.1941838197012,5.342969525303033,0.8385151121867218,0
24777984,"270.62808754,  58.627265",2008-01-23T16:21:01.009,CRYO,FULL,5/10,YES,large,4,0.4,54488.6812617,638.0623881764939,4.364143550972558,0.6839681560677411,0
24781056,"270.62808754,  58.627265",2008-02-07T06:00:49.653,CRYO,FULL,5/10,YES,large,1,0.4,54503.2505747,642.9835621448746,3.680214679006405,0.5723652820501177,0
24936960,"270.62808754,  58.627265",2008-03-02T07:03:15.914,CRYO,FULL,5/10,YES,large,2,0.4,54527.2939342,642.0259117177678,1.0710822883686335,0.16682851405528273,0
24940032,"270.62808754,  58.627265",2008-03-12T02:40:21.988,CRYO,FULL,5/10,YES,large,5,0.4,54537.1113656,636.4511045206622,3.26719542060324,0.5133458638686629,0
24960256,"270.62808754,  58.627265",2008-03-12T00:19:32.511,CRYO,FULL,0/101,NO,--,--,0.4,54537.0135707,nan,nan,nan,0
24960512,"270.62808754,  58.627265",2008-03-12T00:53:05.286,CRYO,FULL,0/202,NO,--,--,2.0,54537.0368667,nan,nan,nan,0
25102336,"270.62808754,  58.627265",2008-04-13T12:10:53.635,CRYO,FULL,5/10,YES,large,4,0.4,54569.5075652,641.1209171925717,7.8853969800408965,1.2299391220256166,0
25105408,"270.62808754,  58.627265",2008-04-05T21:02:03.576,CRYO,FULL,5/10,YES,large,3,0.4,54561.8764303,635.9036962083815,4.671060340921971,0.7345546768753638,0
25127680,"270.62808754,  58.627265",2008-04-07T15:01:29.918,CRYO,FULL,0/101,NO,--,--,0.4,54563.6260407,nan,nan,nan,0
25127936,"270.62808754,  58.627265",2008-04-07T15:29:16.494,CRYO,FULL,0/202,NO,--,--,2.0,54563.6453298,nan,nan,nan,0
27138304,"270.62808754,  58.627265",2008-05-07T21:46:16.747,CRYO,FULL,5/10,NO,large,2,0.4,54593.9071383,639.7844186366783,4.0443208394982335,0.6321380642742611,0
27141376,"270.62808754,  58.627265",2008-05-14T14:44:07.348,CRYO,FULL,5/10,NO,large,3,0.4,54600.6139739,637.6908654508799,6.214622547789473,0.9745509751649678,0
27150336,"270.62808754,  58.627265",2008-05-13T06:51:15.183,CRYO,FULL,0/101,NO,--,--,0.4,54599.2855924,nan,nan,nan,0
27150592,"270.62808754,  58.627265",2008-05-13T07:23:47.544,CRYO,FULL,0/202,NO,--,--,2.0,54599.3081892,nan,nan,nan,0
27460352,"270.62808754,  58.627265",2008-06-20T15:11:29.273,CRYO,FULL,5/10,NO,large,2,0.4,54637.6329777,631.7941081662691,6.736012155184539,1.0661720437272302,0
27462656,"270.62808754,  58.627265",2008-06-09T23:01:36.517,CRYO,FULL,5/10,NO,large,4,0.4,54626.9594504,641.0025086220081,5.206339765349694,0.812218313551065,0
27806208,"270.62808754,  58.627265",2008-07-11T22:12:35.685,CRYO,FULL,5/10,NO,large,4,0.4,54658.925413,635.8327042884589,2.7707232141919738,0.435762928755388,0
27809280,"270.62808754,  58.627265",2008-07-23T16:04:03.171,CRYO,FULL,5/10,NO,large,1,0.4,54670.6694811,637.3397444672765,4.573919010695567,0.717657897597254,0
28003584,"270.62808754,  58.627265",2008-08-17T04:48:57.416,CRYO,FULL,5/10,NO,large,5,0.4,54695.2006645,641.5533512915648,7.823616758087747,1.2194803039119613,0
28006656,"270.62808754,  58.627265",2008-08-23T17:20:33.604,CRYO,FULL,5/10,NO,large,3,0.4,54701.7226112,641.01799410133,4.017592515995141,0.6267519091453232,0
28153600,"270.62808754,  58.627265",2008-09-14T20:17:39.765,CRYO,FULL,5/10,NO,large,2,0.4,54723.8455991,638.1983335954935,2.446428326458934,0.38333354972524003,0
28156672,"270.62808754,  58.627265",2008-09-23T09:22:52.166,CRYO,FULL,5/10,NO,large,2,0.4,54732.3908816,638.2959156978177,9.484118884542976,1.4858498466458858,0
28477440,"270.62808754,  58.627265",2008-11-03T20:27:38.461,CRYO,FULL,4/10,NO,large,2,0.4,54773.8525285,641.8876757536647,4.78412321570479,0.7453209333062158,0
