AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
43284736,2012-09-10T03:30:03.812,NO,large,5,2.0,56180.1458774,39.55355655184256,0.547941610266036,1.3853156530888768
43284992,2011-11-14T17:47:05.973,NO,large,5,2.0,55879.7410414,39.46746145126401,0.7157029380060723,1.8133999798539129
43285248,2011-11-11T20:40:58.462,NO,large,5,2.0,55876.8617878,38.99098294152519,0.5117136770912731,1.312389784732256
43285504,2012-06-11T14:51:58.792,NO,large,5,2.0,56089.6194305,39.34810126886659,0.5670819849004343,1.4411927554662636
43285760,2011-11-09T05:55:24.130,NO,large,5,2.0,55874.2468071,38.955988551580944,0.10928992261956397,0.2805471679273524
43286016,2012-06-08T04:00:54.088,NO,large,5,2.0,56086.1672927,38.58488758839537,0.510215990839066,1.3223207911910995
43286272,2011-11-06T01:48:34.068,NO,large,5,2.0,55871.0753943,39.006109186177994,0.7890435456719127,2.0228717042906554
43286528,2012-06-05T11:47:08.845,NO,large,5,2.0,56083.4910746,39.246935291891816,0.6018701687899303,1.5335469236352655
43286784,2011-11-03T00:28:05.822,NO,large,5,2.0,55868.0195118,38.72953245891391,0.7475177386701705,1.9300975023728264
43287040,2012-06-02T17:43:32.102,NO,large,5,2.0,56080.738566,38.829386643778975,0.3322198977085382,0.8555888372801906
43287296,2011-10-31T06:00:06.451,NO,large,5,2.0,55865.2500747,38.44382527296661,1.8740584134711862,4.874796928153268
43287552,2012-05-31T01:11:18.630,NO,large,5,2.0,56078.0495212,38.66854118206696,0.6118662859832529,1.5823360987484416
43287808,2011-10-28T04:10:34.731,NO,large,5,2.0,55862.1740131,39.1525839649312,0.9916935827294608,2.5328943387688443
43288064,2012-05-28T06:28:59.460,NO,large,5,2.0,56075.2701326,39.25092077141045,0.21031262224616334,0.5358157671535458
43288320,2012-05-25T13:57:32.476,NO,large,5,2.0,56072.5816259,39.41623309893472,0.5445988890879807,1.3816614279731851
43288576,2012-05-23T01:41:13.869,NO,large,5,2.0,56070.0702994,39.2962327173358,0.45237801918563536,1.1511994608736773
43288832,2012-05-20T05:08:33.022,NO,large,5,2.0,56067.2142711,39.41667833458588,0.743446739324683,1.8861222475774955
