File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
4,Y,N,N,N,N,nan,nan,nan,nan,53822.6127147,nan,nan,nan
5,N,N,N,N,Y,10.939636173707749,6.981236951099192,1.4391042374577283,1.0920825790735367,53822.6091466,nan,nan,nan
6,N,N,N,N,Y,10.48716242203832,23.460318698434726,1.9210007522826928,1.8500202827912462,53822.6095378,nan,nan,nan
7,N,N,N,N,Y,24.818102162987444,15.776522288473902,1.7007853554849437,1.5158020414755746,53822.6099058,nan,nan,nan
8,N,N,N,N,N,20.2458047307553,10.212065438445814,1.3238946656077302,1.5499346133578038,53822.6100295,35091.01221350852,673.9509537076971,34417.06125980082
9,N,N,N,N,Y,15.176673243079692,7.746810966645605,1.3021841697439334,1.414811095847466,53822.610151,nan,nan,nan
10,N,N,N,N,Y,8.965961905354225,12.24020045433259,1.6575151973013926,1.3216600843560367,53822.6092925,nan,nan,nan
11,N,N,N,N,Y,15.183723249250196,22.09138671804928,1.4416493024233454,1.0606830331726715,53822.6096602,nan,nan,nan
12,Y,N,N,N,N,nan,nan,nan,nan,53822.6118318,nan,nan,nan
13,Y,N,N,N,N,nan,nan,nan,nan,53822.612591,nan,nan,nan
14,Y,N,N,N,N,nan,nan,nan,nan,53822.612223,nan,nan,nan
15,N,N,N,N,N,21.006054490925656,19.803176568484325,1.2514623453404536,1.3484754464835946,53822.6097831,35264.809912100674,633.9776404680462,34630.83227163263
16,N,N,N,N,Y,8.44220161896272,17.036725594356895,1.6884117216480168,1.3024944998075052,53822.609416,nan,nan,nan
17,Y,N,N,N,N,nan,nan,nan,nan,53822.6124684,nan,nan,nan
18,Y,N,N,N,N,nan,nan,nan,nan,53822.6128364,nan,nan,nan
1,N,N,N,N,Y,9.063174328577581,12.888481027943843,1.0930648967199024,1.3878436826336973,53819.0699019,nan,nan,nan
2,Y,N,N,N,N,nan,nan,nan,nan,53819.0724951,nan,nan,nan
3,Y,N,N,N,N,nan,nan,nan,nan,53819.0728862,nan,nan,nan
4,Y,N,N,N,N,nan,nan,nan,nan,53819.0753768,nan,nan,nan
5,Y,N,N,N,N,nan,nan,nan,nan,53819.073377,nan,nan,nan
6,Y,N,N,N,N,nan,nan,nan,nan,53819.0784151,nan,nan,nan
7,Y,N,N,N,N,nan,nan,nan,nan,53819.0792738,nan,nan,nan
8,Y,N,N,N,N,nan,nan,nan,nan,53819.0789068,nan,nan,nan
9,N,N,N,N,Y,10.906099595575089,23.952370136308833,1.1300516482808785,1.4601113562701262,53819.0701464,nan,nan,nan
10,N,N,N,N,Y,15.607742065423004,22.676865861161435,1.7492096564786555,1.926995409384196,53819.0702691,nan,nan,nan
11,Y,N,N,N,N,nan,nan,nan,nan,53819.0727633,nan,nan,nan
12,N,N,N,N,Y,11.025937513157267,7.661915996072195,1.3496747690877644,1.5496644574701377,53819.0697563,nan,nan,nan
13,Y,N,N,N,N,nan,nan,nan,nan,53819.0760133,nan,nan,nan
14,Y,N,N,N,N,nan,nan,nan,nan,53819.0731314,nan,nan,nan
15,Y,N,N,N,N,nan,nan,nan,nan,53819.0785375,nan,nan,nan
16,Y,N,N,N,N,nan,nan,nan,nan,53819.0763803,nan,nan,nan
17,N,N,N,N,N,21.249340854594337,20.129683989009738,1.4445533171636393,1.26249384419283,53819.0703918,10527.356496125441,451.4931538709627,10075.863342254479
18,N,N,N,N,Y,8.925311265519346,17.657972415258875,1.6534642311597818,1.5041092436846049,53819.0700237,nan,nan,nan
19,Y,N,N,N,N,nan,nan,nan,nan,53819.0726405,nan,nan,nan
